Spark assembly has been built with Hive, including Datanucleus jars on classpath
Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=128m; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=10g; support was removed in 8.0
2014-07-10 20:38:10,815 [main] WARN  org.apache.spark.SparkConf - 
SPARK_JAVA_OPTS was detected (set to '-Xms4g -Xmx70g -XX:MaxPermSize=10g -Dspark.akka.frameSize=200').
This is deprecated in Spark 1.0+.

Please instead use:
 - ./spark-submit with conf/spark-defaults.conf to set defaults for an application
 - ./spark-submit with --driver-java-options to set -X options for a driver
 - spark.executor.extraJavaOptions to set -X options for executors
 - SPARK_DAEMON_JAVA_OPTS to set java options for standalone daemons (master or worker)
        
2014-07-10 20:38:10,817 [main] WARN  org.apache.spark.SparkConf - Setting 'spark.executor.extraJavaOptions' to '-Xms4g -Xmx70g -XX:MaxPermSize=10g -Dspark.akka.frameSize=200' as a work-around.
2014-07-10 20:38:10,818 [main] WARN  org.apache.spark.SparkConf - Setting 'spark.driver.extraJavaOptions' to '-Xms4g -Xmx70g -XX:MaxPermSize=10g -Dspark.akka.frameSize=200' as a work-around.
2014-07-10 20:38:10,871 [main] INFO  org.apache.spark.SecurityManager - Changing view acls to: root
2014-07-10 20:38:10,872 [main] INFO  org.apache.spark.SecurityManager - SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(root)
2014-07-10 20:38:11,303 [spark-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2014-07-10 20:38:11,362 [spark-akka.actor.default-dispatcher-3] INFO  Remoting - Starting remoting
2014-07-10 20:38:11,539 [spark-akka.actor.default-dispatcher-2] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://spark@dco-node121-mgt.dco.ethz.ch:41705]
2014-07-10 20:38:11,541 [spark-akka.actor.default-dispatcher-2] INFO  Remoting - Remoting now listens on addresses: [akka.tcp://spark@dco-node121-mgt.dco.ethz.ch:41705]
2014-07-10 20:38:11,571 [main] INFO  org.apache.spark.SparkEnv - Registering MapOutputTracker
2014-07-10 20:38:11,574 [main] INFO  org.apache.spark.SparkEnv - Registering BlockManagerMaster
2014-07-10 20:38:11,591 [main] INFO  org.apache.spark.storage.DiskBlockManager - Created local directory at /tmp/spark-local-20140710203811-5390
2014-07-10 20:38:11,595 [main] INFO  org.apache.spark.storage.MemoryStore - MemoryStore started with capacity 40.3 GB.
2014-07-10 20:38:11,624 [main] INFO  org.apache.spark.network.ConnectionManager - Bound socket to port 56896 with id = ConnectionManagerId(dco-node121-mgt.dco.ethz.ch,56896)
2014-07-10 20:38:11,629 [main] INFO  org.apache.spark.storage.BlockManagerMaster - Trying to register BlockManager
2014-07-10 20:38:11,634 [spark-akka.actor.default-dispatcher-3] INFO  org.apache.spark.storage.BlockManagerInfo - Registering block manager dco-node121-mgt.dco.ethz.ch:56896 with 40.3 GB RAM
2014-07-10 20:38:11,636 [main] INFO  org.apache.spark.storage.BlockManagerMaster - Registered BlockManager
2014-07-10 20:38:11,655 [main] INFO  org.apache.spark.HttpServer - Starting HTTP Server
2014-07-10 20:38:11,712 [main] INFO  org.eclipse.jetty.server.Server - jetty-8.y.z-SNAPSHOT
2014-07-10 20:38:11,733 [main] INFO  org.eclipse.jetty.server.AbstractConnector - Started SocketConnector@0.0.0.0:59250
2014-07-10 20:38:11,734 [main] INFO  org.apache.spark.broadcast.HttpBroadcast - Broadcast server started at http://172.31.109.131:59250
2014-07-10 20:38:11,741 [main] INFO  org.apache.spark.HttpFileServer - HTTP File server directory is /tmp/spark-4585feb3-a582-4a06-b500-3d0e569073e1
2014-07-10 20:38:11,741 [main] INFO  org.apache.spark.HttpServer - Starting HTTP Server
2014-07-10 20:38:11,742 [main] INFO  org.eclipse.jetty.server.Server - jetty-8.y.z-SNAPSHOT
2014-07-10 20:38:11,745 [main] INFO  org.eclipse.jetty.server.AbstractConnector - Started SocketConnector@0.0.0.0:46280
2014-07-10 20:38:12,107 [main] INFO  org.eclipse.jetty.server.Server - jetty-8.y.z-SNAPSHOT
2014-07-10 20:38:12,122 [main] INFO  org.eclipse.jetty.server.AbstractConnector - Started SelectChannelConnector@0.0.0.0:4040
2014-07-10 20:38:12,129 [main] INFO  org.apache.spark.ui.SparkUI - Started SparkUI at http://dco-node121-mgt.dco.ethz.ch:4040
2014-07-10 20:38:12,346 [main] WARN  org.apache.hadoop.util.NativeCodeLoader - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2014-07-10 20:38:13,001 [main] INFO  org.apache.spark.scheduler.EventLoggingListener - Logging events to hdfs://dco-node121.dco.ethz.ch:54310/spark_event_log/html-to-text-conversion-application-1405017492453
2014-07-10 20:38:13,254 [main] INFO  org.apache.spark.SparkContext - Added JAR file:/disk3/user_work/runs/convert_all5/run.jar at http://172.31.109.131:46280/jars/run.jar with timestamp 1405017493253
2014-07-10 20:38:13,321 [spark-akka.actor.default-dispatcher-3] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Connecting to master spark://dco-node121.dco.ethz.ch:7077...
2014-07-10 20:38:13,601 [main] INFO  org.apache.spark.storage.MemoryStore - ensureFreeSpace(239409) called with curMem=0, maxMem=43218213273
2014-07-10 20:38:13,604 [main] INFO  org.apache.spark.storage.MemoryStore - Block broadcast_0 stored as values to memory (estimated size 233.8 KB, free 40.2 GB)
2014-07-10 20:38:13,725 [spark-akka.actor.default-dispatcher-4] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Connected to Spark cluster with app ID app-20140710203813-0000
2014-07-10 20:38:13,751 [spark-akka.actor.default-dispatcher-4] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/0 on worker-20140710203730-dco-node131-mgt.dco.ethz.ch-51773 (dco-node131-mgt.dco.ethz.ch:51773) with 16 cores
2014-07-10 20:38:13,753 [spark-akka.actor.default-dispatcher-4] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/0 on hostPort dco-node131-mgt.dco.ethz.ch:51773 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,753 [spark-akka.actor.default-dispatcher-4] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/1 on worker-20140710203730-dco-node126-mgt.dco.ethz.ch-60480 (dco-node126-mgt.dco.ethz.ch:60480) with 16 cores
2014-07-10 20:38:13,754 [spark-akka.actor.default-dispatcher-4] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/1 on hostPort dco-node126-mgt.dco.ethz.ch:60480 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,756 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/2 on worker-20140710203730-dco-node125-mgt.dco.ethz.ch-42839 (dco-node125-mgt.dco.ethz.ch:42839) with 16 cores
2014-07-10 20:38:13,757 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/2 on hostPort dco-node125-mgt.dco.ethz.ch:42839 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,758 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/3 on worker-20140710203731-dco-node123-mgt.dco.ethz.ch-58212 (dco-node123-mgt.dco.ethz.ch:58212) with 16 cores
2014-07-10 20:38:13,758 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/3 on hostPort dco-node123-mgt.dco.ethz.ch:58212 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,759 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/4 on worker-20140710203730-dco-node135-mgt.dco.ethz.ch-58580 (dco-node135-mgt.dco.ethz.ch:58580) with 16 cores
2014-07-10 20:38:13,760 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/4 on hostPort dco-node135-mgt.dco.ethz.ch:58580 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,761 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/5 on worker-20140710203730-dco-node133-mgt.dco.ethz.ch-48081 (dco-node133-mgt.dco.ethz.ch:48081) with 16 cores
2014-07-10 20:38:13,762 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/5 on hostPort dco-node133-mgt.dco.ethz.ch:48081 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,763 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/6 on worker-20140710203730-dco-node134-mgt.dco.ethz.ch-39082 (dco-node134-mgt.dco.ethz.ch:39082) with 16 cores
2014-07-10 20:38:13,763 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/6 on hostPort dco-node134-mgt.dco.ethz.ch:39082 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,764 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/7 on worker-20140710203730-dco-node127-mgt.dco.ethz.ch-34515 (dco-node127-mgt.dco.ethz.ch:34515) with 16 cores
2014-07-10 20:38:13,764 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/7 on hostPort dco-node127-mgt.dco.ethz.ch:34515 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,766 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/8 on worker-20140710203730-dco-node130-mgt.dco.ethz.ch-48548 (dco-node130-mgt.dco.ethz.ch:48548) with 16 cores
2014-07-10 20:38:13,766 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/8 on hostPort dco-node130-mgt.dco.ethz.ch:48548 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,767 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/9 on worker-20140710203730-dco-node121-mgt.dco.ethz.ch-60479 (dco-node121-mgt.dco.ethz.ch:60479) with 16 cores
2014-07-10 20:38:13,767 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/9 on hostPort dco-node121-mgt.dco.ethz.ch:60479 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,768 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/10 on worker-20140710203730-dco-node128-mgt.dco.ethz.ch-51757 (dco-node128-mgt.dco.ethz.ch:51757) with 16 cores
2014-07-10 20:38:13,769 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/10 on hostPort dco-node128-mgt.dco.ethz.ch:51757 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,770 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/11 on worker-20140710203730-dco-node124-mgt.dco.ethz.ch-39781 (dco-node124-mgt.dco.ethz.ch:39781) with 16 cores
2014-07-10 20:38:13,770 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/11 on hostPort dco-node124-mgt.dco.ethz.ch:39781 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,771 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/12 on worker-20140710203730-dco-node132-mgt.dco.ethz.ch-60810 (dco-node132-mgt.dco.ethz.ch:60810) with 16 cores
2014-07-10 20:38:13,772 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/12 on hostPort dco-node132-mgt.dco.ethz.ch:60810 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,772 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/13 on worker-20140710203731-dco-node122-mgt.dco.ethz.ch-45826 (dco-node122-mgt.dco.ethz.ch:45826) with 16 cores
2014-07-10 20:38:13,773 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/13 on hostPort dco-node122-mgt.dco.ethz.ch:45826 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,773 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/14 on worker-20140710203730-dco-node136-mgt.dco.ethz.ch-49584 (dco-node136-mgt.dco.ethz.ch:49584) with 16 cores
2014-07-10 20:38:13,773 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/14 on hostPort dco-node136-mgt.dco.ethz.ch:49584 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,774 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor added: app-20140710203813-0000/15 on worker-20140710203730-dco-node129-mgt.dco.ethz.ch-44845 (dco-node129-mgt.dco.ethz.ch:44845) with 16 cores
2014-07-10 20:38:13,774 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Granted executor ID app-20140710203813-0000/15 on hostPort dco-node129-mgt.dco.ethz.ch:44845 with 16 cores, 70.0 GB RAM
2014-07-10 20:38:13,852 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/11 is now RUNNING
2014-07-10 20:38:13,853 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/10 is now RUNNING
2014-07-10 20:38:13,856 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/3 is now RUNNING
2014-07-10 20:38:13,858 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/8 is now RUNNING
2014-07-10 20:38:13,860 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/4 is now RUNNING
2014-07-10 20:38:13,863 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/5 is now RUNNING
2014-07-10 20:38:13,865 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/9 is now RUNNING
2014-07-10 20:38:13,868 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/13 is now RUNNING
2014-07-10 20:38:13,870 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/14 is now RUNNING
2014-07-10 20:38:13,872 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/2 is now RUNNING
2014-07-10 20:38:13,874 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/15 is now RUNNING
2014-07-10 20:38:13,876 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/0 is now RUNNING
2014-07-10 20:38:13,877 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/6 is now RUNNING
2014-07-10 20:38:13,879 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/12 is now RUNNING
2014-07-10 20:38:13,881 [spark-akka.actor.default-dispatcher-2] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/1 is now RUNNING
2014-07-10 20:38:13,883 [spark-akka.actor.default-dispatcher-3] INFO  org.apache.spark.deploy.client.AppClient$ClientActor - Executor updated: app-20140710203813-0000/7 is now RUNNING
2014-07-10 20:38:16,859 [spark-akka.actor.default-dispatcher-4] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Registered executor: Actor[akka.tcp://sparkExecutor@dco-node131-mgt.dco.ethz.ch:52255/user/Executor#1377245382] with ID 0
2014-07-10 20:38:16,865 [spark-akka.actor.default-dispatcher-4] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Registered executor: Actor[akka.tcp://sparkExecutor@dco-node133-mgt.dco.ethz.ch:44465/user/Executor#1870005723] with ID 5
2014-07-10 20:38:16,867 [spark-akka.actor.default-dispatcher-4] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Registered executor: Actor[akka.tcp://sparkExecutor@dco-node122-mgt.dco.ethz.ch:37241/user/Executor#1151756116] with ID 13
2014-07-10 20:38:16,869 [spark-akka.actor.default-dispatcher-17] INFO  org.apache.spark.scheduler.cluster.SparkDeploySchedulerBackend - Registered executor: Actor[akka.tcp://sparkExecutor@dco-node136-mgt.dco.ethz.ch:53434/user/Executor#-1455031341] with ID 14
