2014-07-10 20:37:15,719 [main] INFO  org.apache.spark.SecurityManager - Changing view acls to: root
2014-07-10 20:37:15,721 [main] INFO  org.apache.spark.SecurityManager - SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(root)
2014-07-10 20:37:16,182 [sparkMaster-akka.actor.default-dispatcher-2] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2014-07-10 20:37:16,250 [sparkMaster-akka.actor.default-dispatcher-5] INFO  Remoting - Starting remoting
2014-07-10 20:37:16,433 [sparkMaster-akka.actor.default-dispatcher-2] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://sparkMaster@dco-node121.dco.ethz.ch:7077]
2014-07-10 20:37:16,674 [sparkMaster-akka.actor.default-dispatcher-3] INFO  org.apache.spark.deploy.master.Master - Starting Spark master at spark://dco-node121.dco.ethz.ch:7077
2014-07-10 20:37:16,702 [sparkMaster-akka.actor.default-dispatcher-3] INFO  org.eclipse.jetty.server.Server - jetty-8.y.z-SNAPSHOT
2014-07-10 20:37:16,763 [sparkMaster-akka.actor.default-dispatcher-3] INFO  org.eclipse.jetty.server.AbstractConnector - Started SelectChannelConnector@0.0.0.0:8080
2014-07-10 20:37:16,766 [sparkMaster-akka.actor.default-dispatcher-3] INFO  org.apache.spark.deploy.master.ui.MasterWebUI - Started MasterWebUI at http://dco-node121-mgt.dco.ethz.ch:8080
2014-07-10 20:37:16,786 [sparkMaster-akka.actor.default-dispatcher-3] INFO  org.apache.spark.deploy.master.Master - I have been elected leader! New state: ALIVE
2014-07-10 20:37:17,984 [main] INFO  org.apache.spark.SecurityManager - Changing view acls to: root
2014-07-10 20:37:17,986 [main] INFO  org.apache.spark.SecurityManager - SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(root)
2014-07-10 20:37:18,439 [sparkWorker-akka.actor.default-dispatcher-2] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2014-07-10 20:37:18,508 [sparkWorker-akka.actor.default-dispatcher-3] INFO  Remoting - Starting remoting
2014-07-10 20:37:18,695 [sparkWorker-akka.actor.default-dispatcher-5] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://sparkWorker@dco-node121-mgt.dco.ethz.ch:52004]
2014-07-10 20:37:18,865 [sparkWorker-akka.actor.default-dispatcher-5] INFO  org.apache.spark.deploy.worker.Worker - Starting Spark worker dco-node121-mgt.dco.ethz.ch:52004 with 16 cores, 125.0 GB RAM
2014-07-10 20:37:18,865 [sparkWorker-akka.actor.default-dispatcher-5] INFO  org.apache.spark.deploy.worker.Worker - Spark home: /root/spark
2014-07-10 20:37:18,952 [sparkWorker-akka.actor.default-dispatcher-5] INFO  org.eclipse.jetty.server.Server - jetty-8.y.z-SNAPSHOT
2014-07-10 20:37:19,007 [sparkWorker-akka.actor.default-dispatcher-5] INFO  org.eclipse.jetty.server.AbstractConnector - Started SelectChannelConnector@0.0.0.0:8081
2014-07-10 20:37:19,009 [sparkWorker-akka.actor.default-dispatcher-5] INFO  org.apache.spark.deploy.worker.ui.WorkerWebUI - Started WorkerWebUI at http://dco-node121-mgt.dco.ethz.ch:8081
2014-07-10 20:37:19,010 [sparkWorker-akka.actor.default-dispatcher-5] INFO  org.apache.spark.deploy.worker.Worker - Connecting to master spark://dco-node121.dco.ethz.ch:7077...
2014-07-10 20:37:19,482 [sparkMaster-akka.actor.default-dispatcher-25] INFO  org.apache.spark.deploy.master.Master - Registering worker dco-node126-mgt.dco.ethz.ch:33819 with 16 cores, 125.0 GB RAM
